tex_file,line,number,context,status,hit_files,human_confirmed
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_4.tex,10,0.0314,POS ($I = 0.5$) & 1050.0 & 0.0314 & Primary pre-registered test \\,FOUND,outputs\interim_secured_metrics.csv;outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_4.tex,11,1318.0,CHROM & 1318.0 & 0.0001 & Exploratory (post hoc) \\,FOUND,outputs\leakage_run\estimator_comparison_full_output.txt;docs\FULL_THESIS_PAPER.md;docs\negative_result_writeup_legacy.md;docs\todo.md,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_4.tex,11,0.0001,CHROM & 1318.0 & 0.0001 & Exploratory (post hoc) \\,FOUND,outputs\interim_secured_metrics.csv;outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_4.tex,12,1113.0,PBV & 1113.0 & 0.0103 & Exploratory (post hoc) \\,FOUND,outputs\leakage_run\estimator_comparison_full_output.txt;docs\FULL_THESIS_PAPER.md;docs\negative_result_writeup_legacy.md;docs\todo.md,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_4.tex,12,0.0103,PBV & 1113.0 & 0.0103 & Exploratory (post hoc) \\,FOUND,outputs\interim_secured_metrics.csv;outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_4.tex,19,1050.0,"The pre-registered primary test (POS, $U = 1050.0$, $p = 0.0314$) rejects, at the pre-registered threshold $p \le 0.05$, the null hypothesis that video compress",FOUND,outputs\pds_per_subject.csv;outputs\leakage_run\estimator_comparison_full_output.txt;outputs\leakage_run\null_corrs.csv;outputs\leakage_run\o7_reanalysis.txt;outputs\source_audits\source_audit_adult_curation_pool.csv,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_4.tex,19,0.0314,"The pre-registered primary test (POS, $U = 1050.0$, $p = 0.0314$) rejects, at the pre-registered threshold $p \le 0.05$, the null hypothesis that video compress",FOUND,outputs\interim_secured_metrics.csv;outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_4.tex,19,0.05,"The pre-registered primary test (POS, $U = 1050.0$, $p = 0.0314$) rejects, at the pre-registered threshold $p \le 0.05$, the null hypothesis that video compress",FOUND,outputs\interim_secured_metrics.csv;outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_4.tex,19,0.849,"The pre-registered primary test (POS, $U = 1050.0$, $p = 0.0314$) rejects, at the pre-registered threshold $p \le 0.05$, the null hypothesis that video compress",FOUND,outputs\interim_secured_metrics.csv;outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_4.tex,19,53.5,"The pre-registered primary test (POS, $U = 1050.0$, $p = 0.0314$) rejects, at the pre-registered threshold $p \le 0.05$, the null hypothesis that video compress",FOUND,outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\evaluation_report_baseline_mobilenet_v3_small_concat_best.json;outputs\analysis\evaluation_report_counterfactual_cgf_js_mobilenet_v3_small_multimodal_10k_unbiased_best.json;outputs\analysis\metrics_comparison_table.csv,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_4.tex,23,1.0,\paragraph{Sensitivity analysis.} A post hoc audit found that two clips (s4 T2 and s4 T3) in the $I = 1.0$ ablation arm had face crops about 37\% smaller than t,FOUND,outputs\interim_secured_metrics.csv;outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_4.tex,23,37,\paragraph{Sensitivity analysis.} A post hoc audit found that two clips (s4 T2 and s4 T3) in the $I = 1.0$ ablation arm had face crops about 37\% smaller than t,FOUND,outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json;outputs\analysis\evaluation_report_counterfactual_cgf_js_mobilenet_v3_small_multimodal_10k_unbiased_best.json;outputs\analysis\evaluation_report_counterfactual_concat_js_mobilenet_v3_small_multimodal_10k_unbiased_best.json;outputs\analysis\metrics_comparison_table.csv,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_4.tex,23,832.0,\paragraph{Sensitivity analysis.} A post hoc audit found that two clips (s4 T2 and s4 T3) in the $I = 1.0$ ablation arm had face crops about 37\% smaller than t,FOUND,outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json;outputs\leakage_run\null_corrs.csv;outputs\pilot_checkpoints\oof_preds_ext.csv;outputs\pilot_checkpoints\oof_preds_mod.csv,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_4.tex,23,0.0857,\paragraph{Sensitivity analysis.} A post hoc audit found that two clips (s4 T2 and s4 T3) in the $I = 1.0$ ablation arm had face crops about 37\% smaller than t,FOUND,outputs\interim_secured_metrics.csv;outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_4.tex,23,1.0,\paragraph{Sensitivity analysis.} A post hoc audit found that two clips (s4 T2 and s4 T3) in the $I = 1.0$ ablation arm had face crops about 37\% smaller than t,FOUND,outputs\interim_secured_metrics.csv;outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_4.tex,23,0.0437,\paragraph{Sensitivity analysis.} A post hoc audit found that two clips (s4 T2 and s4 T3) in the $I = 1.0$ ablation arm had face crops about 37\% smaller than t,FOUND,outputs\interim_secured_metrics.csv;outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_4.tex,23,0.5,\paragraph{Sensitivity analysis.} A post hoc audit found that two clips (s4 T2 and s4 T3) in the $I = 1.0$ ablation arm had face crops about 37\% smaller than t,FOUND,outputs\interim_secured_metrics.csv;outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_4.tex,26,79.94,"\paragraph{Model A (Naive ERM).} The best validation accuracies were 79.94\% (seed 42), 80.98\% (seed 100), and 80.98\% (seed 2026), approximately 7.8 percentag",FOUND,outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json;outputs\analysis\evaluation_report_baseline_mobilenet_v3_small_concat_best.json;outputs\analysis\evaluation_report_counterfactual_concat_js_mobilenet_v3_small_multimodal_10k_unbiased_best.json;outputs\analysis\metrics_comparison_table.csv,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_4.tex,26,42,"\paragraph{Model A (Naive ERM).} The best validation accuracies were 79.94\% (seed 42), 80.98\% (seed 100), and 80.98\% (seed 2026), approximately 7.8 percentag",FOUND,outputs\interim_secured_metrics.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json;outputs\analysis\evaluation_report_baseline_mobilenet_v3_small_concat_best.json;outputs\analysis\line_A_final_snr.csv,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_4.tex,26,80.98,"\paragraph{Model A (Naive ERM).} The best validation accuracies were 79.94\% (seed 42), 80.98\% (seed 100), and 80.98\% (seed 2026), approximately 7.8 percentag",FOUND,outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\evaluation_report_counterfactual_cgf_js_mobilenet_v3_small_multimodal_10k_unbiased_best.json;outputs\analysis\line_A_final_snr.csv;outputs\analysis\metrics_comparison_table.csv,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_4.tex,26,100,"\paragraph{Model A (Naive ERM).} The best validation accuracies were 79.94\% (seed 42), 80.98\% (seed 100), and 80.98\% (seed 2026), approximately 7.8 percentag",FOUND,outputs\interim_secured_metrics.csv;outputs\analysis\dataset_analysis_report.json;outputs\analysis\thesis_final_comprehensive_report.json;outputs\leakage_run\null_corrs.csv;outputs\reports\p2_summary.csv,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_4.tex,26,80.98,"\paragraph{Model A (Naive ERM).} The best validation accuracies were 79.94\% (seed 42), 80.98\% (seed 100), and 80.98\% (seed 2026), approximately 7.8 percentag",FOUND,outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\evaluation_report_counterfactual_cgf_js_mobilenet_v3_small_multimodal_10k_unbiased_best.json;outputs\analysis\line_A_final_snr.csv;outputs\analysis\metrics_comparison_table.csv,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_4.tex,26,7.8,"\paragraph{Model A (Naive ERM).} The best validation accuracies were 79.94\% (seed 42), 80.98\% (seed 100), and 80.98\% (seed 2026), approximately 7.8 percentag",FOUND,outputs\interim_secured_metrics.csv;outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_4.tex,26,72.15,"\paragraph{Model A (Naive ERM).} The best validation accuracies were 79.94\% (seed 42), 80.98\% (seed 100), and 80.98\% (seed 2026), approximately 7.8 percentag",FOUND,outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\evaluation_report_baseline_mobilenet_v3_small_concat_best.json;outputs\analysis\metrics_comparison_table.csv,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_4.tex,31,0.50,"\paragraph{Model C (CGF, counterfactual penalty without Stiefel decomposition).} On the neutral test regime ($\rho = 0.50$), Model C reached 50.20\% accuracy wi",FOUND,outputs\interim_secured_metrics.csv;outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_4.tex,31,50.20,"\paragraph{Model C (CGF, counterfactual penalty without Stiefel decomposition).} On the neutral test regime ($\rho = 0.50$), Model C reached 50.20\% accuracy wi",FOUND,outputs\interim_secured_metrics.csv;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json;outputs\analysis\line_A_final_snr.csv,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_4.tex,31,0.0202,"\paragraph{Model C (CGF, counterfactual penalty without Stiefel decomposition).} On the neutral test regime ($\rho = 0.50$), Model C reached 50.20\% accuracy wi",FOUND,outputs\interim_secured_metrics.csv;outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_4.tex,31,0.0484,"\paragraph{Model C (CGF, counterfactual penalty without Stiefel decomposition).} On the neutral test regime ($\rho = 0.50$), Model C reached 50.20\% accuracy wi",FOUND,outputs\interim_secured_metrics.csv;outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_4.tex,31,0.0019,"\paragraph{Model C (CGF, counterfactual penalty without Stiefel decomposition).} On the neutral test regime ($\rho = 0.50$), Model C reached 50.20\% accuracy wi",FOUND,outputs\interim_secured_metrics.csv;outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_4.tex,33,42,\paragraph{Model D (EQUITAS-RCMF).} Table~\ref{tab:demographic_audit} reports the demographic audit of the seed-42 model in autonomous mode on the neutral regim,FOUND,outputs\interim_secured_metrics.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json;outputs\analysis\evaluation_report_baseline_mobilenet_v3_small_concat_best.json;outputs\analysis\line_A_final_snr.csv,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_4.tex,41,62.50,Female & 62.50\% & 0.0404 & 0.0573 & 0.0007 \\,FOUND,outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json;outputs\analysis\evaluation_report_baseline_mobilenet_v3_small_concat_best.json;outputs\analysis\evaluation_report_counterfactual_cgf_js_mobilenet_v3_small_multimodal_10k_unbiased_best.json;outputs\analysis\metrics_comparison_table.csv,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_4.tex,41,0.0404,Female & 62.50\% & 0.0404 & 0.0573 & 0.0007 \\,FOUND,outputs\interim_secured_metrics.csv;outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_4.tex,41,0.0573,Female & 62.50\% & 0.0404 & 0.0573 & 0.0007 \\,FOUND,outputs\interim_secured_metrics.csv;outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_4.tex,41,0.0007,Female & 62.50\% & 0.0404 & 0.0573 & 0.0007 \\,FOUND,outputs\interim_secured_metrics.csv;outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_4.tex,42,59.72,Male & 59.72\% & 0.0589 & 0.1212 & 0.0004 \\,FOUND,outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\evaluation_report_baseline_mobilenet_v3_small_concat_best.json;outputs\analysis\line_A_final_snr.csv,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_4.tex,42,0.0589,Male & 59.72\% & 0.0589 & 0.1212 & 0.0004 \\,FOUND,outputs\interim_secured_metrics.csv;outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_4.tex,42,0.1212,Male & 59.72\% & 0.0589 & 0.1212 & 0.0004 \\,FOUND,outputs\interim_secured_metrics.csv;outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_4.tex,42,0.0004,Male & 59.72\% & 0.0589 & 0.1212 & 0.0004 \\,FOUND,outputs\interim_secured_metrics.csv;outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_4.tex,43,18,Age 18--30 & 60.27\% & 0.0187 & 0.0581 & 0.0007 \\,FOUND,outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json;outputs\analysis\evaluation_report_baseline_mobilenet_v3_small_concat_best.json;outputs\analysis\evaluation_report_counterfactual_cgf_js_mobilenet_v3_small_multimodal_10k_unbiased_best.json;outputs\analysis\evaluation_report_counterfactual_concat_js_mobilenet_v3_small_multimodal_10k_unbiased_best.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_4.tex,43,30,Age 18--30 & 60.27\% & 0.0187 & 0.0581 & 0.0007 \\,FOUND,outputs\pds_per_subject.csv;outputs\analysis\evaluation_report_baseline_mobilenet_v3_small_concat_best.json;outputs\analysis\evaluation_report_counterfactual_cgf_js_mobilenet_v3_small_multimodal_10k_unbiased_best.json;outputs\analysis\metrics_comparison_table.csv;outputs\analysis\sklearn_comprehensive_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_4.tex,43,60.27,Age 18--30 & 60.27\% & 0.0187 & 0.0581 & 0.0007 \\,FOUND,outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\evaluation_report_baseline_mobilenet_v3_small_concat_best.json;outputs\analysis\line_A_final_snr.csv,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_4.tex,43,0.0187,Age 18--30 & 60.27\% & 0.0187 & 0.0581 & 0.0007 \\,FOUND,outputs\interim_secured_metrics.csv;outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_4.tex,43,0.0581,Age 18--30 & 60.27\% & 0.0187 & 0.0581 & 0.0007 \\,FOUND,outputs\interim_secured_metrics.csv;outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_4.tex,43,0.0007,Age 18--30 & 60.27\% & 0.0187 & 0.0581 & 0.0007 \\,FOUND,outputs\interim_secured_metrics.csv;outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_4.tex,44,30,Age 30--45 & 64.29\% & 0.0034 & 0.0621 & 0.0006 \\,FOUND,outputs\pds_per_subject.csv;outputs\analysis\evaluation_report_baseline_mobilenet_v3_small_concat_best.json;outputs\analysis\evaluation_report_counterfactual_cgf_js_mobilenet_v3_small_multimodal_10k_unbiased_best.json;outputs\analysis\metrics_comparison_table.csv;outputs\analysis\sklearn_comprehensive_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_4.tex,44,45,Age 30--45 & 64.29\% & 0.0034 & 0.0621 & 0.0006 \\,FOUND,outputs\pds_per_subject.csv;outputs\analysis\evaluation_report_baseline_mobilenet_v3_small_concat_best.json;outputs\analysis\evaluation_report_counterfactual_cgf_js_mobilenet_v3_small_multimodal_10k_unbiased_best.json;outputs\analysis\metrics_comparison_table.csv;outputs\analysis\sklearn_comprehensive_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_4.tex,44,64.29,Age 30--45 & 64.29\% & 0.0034 & 0.0621 & 0.0006 \\,FOUND,outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json;outputs\analysis\evaluation_report_counterfactual_cgf_js_mobilenet_v3_small_multimodal_10k_unbiased_best.json;outputs\analysis\metrics_comparison_table.csv;outputs\analysis\sklearn_comprehensive_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_4.tex,44,0.0034,Age 30--45 & 64.29\% & 0.0034 & 0.0621 & 0.0006 \\,FOUND,outputs\interim_secured_metrics.csv;outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_4.tex,44,0.0621,Age 30--45 & 64.29\% & 0.0034 & 0.0621 & 0.0006 \\,FOUND,outputs\interim_secured_metrics.csv;outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_4.tex,44,0.0006,Age 30--45 & 64.29\% & 0.0034 & 0.0621 & 0.0006 \\,FOUND,outputs\interim_secured_metrics.csv;outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_4.tex,45,45,Age 45--65 & 60.58\% & 0.1919 & 0.2308 & 0.0006 \\,FOUND,outputs\pds_per_subject.csv;outputs\analysis\evaluation_report_baseline_mobilenet_v3_small_concat_best.json;outputs\analysis\evaluation_report_counterfactual_cgf_js_mobilenet_v3_small_multimodal_10k_unbiased_best.json;outputs\analysis\metrics_comparison_table.csv;outputs\analysis\sklearn_comprehensive_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_4.tex,45,65,Age 45--65 & 60.58\% & 0.1919 & 0.2308 & 0.0006 \\,FOUND,outputs\interim_secured_metrics.csv;outputs\pds_per_subject.csv;outputs\analysis\metrics_comparison_table.csv;outputs\analysis\sklearn_comprehensive_report.json;outputs\analysis\thesis_models_comprehensive_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_4.tex,45,60.58,Age 45--65 & 60.58\% & 0.1919 & 0.2308 & 0.0006 \\,FOUND,outputs\k1_baseline_rigorous.txt;outputs\pds_per_subject.csv;outputs\analysis\evaluation_report_baseline_mobilenet_v3_small_concat_best.json;outputs\analysis\evaluation_report_counterfactual_concat_js_mobilenet_v3_small_multimodal_10k_unbiased_best.json;outputs\analysis\metrics_comparison_table.csv,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_4.tex,45,0.1919,Age 45--65 & 60.58\% & 0.1919 & 0.2308 & 0.0006 \\,FOUND,outputs\interim_secured_metrics.csv;outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_4.tex,45,0.2308,Age 45--65 & 60.58\% & 0.1919 & 0.2308 & 0.0006 \\,FOUND,outputs\interim_secured_metrics.csv;outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_4.tex,45,0.0006,Age 45--65 & 60.58\% & 0.1919 & 0.2308 & 0.0006 \\,FOUND,outputs\interim_secured_metrics.csv;outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_4.tex,48,42,"\caption{Demographic audit of EQUITAS-RCMF (seed 42, autonomous mode, $\rho = 0.50$). Source: \texttt{equitas\_rcmf\_master\_benchmark\_report.json}.}",FOUND,outputs\interim_secured_metrics.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json;outputs\analysis\evaluation_report_baseline_mobilenet_v3_small_concat_best.json;outputs\analysis\line_A_final_snr.csv,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_4.tex,48,0.50,"\caption{Demographic audit of EQUITAS-RCMF (seed 42, autonomous mode, $\rho = 0.50$). Source: \texttt{equitas\_rcmf\_master\_benchmark\_report.json}.}",FOUND,outputs\interim_secured_metrics.csv;outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_4.tex,52,0.0004,"Across these groups, the counterfactual gap remained between 0.0004 and 0.0007, meaning that removing the scar changed the model's predictions very little. The ",FOUND,outputs\interim_secured_metrics.csv;outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_4.tex,52,0.0007,"Across these groups, the counterfactual gap remained between 0.0004 and 0.0007, meaning that removing the scar changed the model's predictions very little. The ",FOUND,outputs\interim_secured_metrics.csv;outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_4.tex,52,0.1919,"Across these groups, the counterfactual gap remained between 0.0004 and 0.0007, meaning that removing the scar changed the model's predictions very little. The ",FOUND,outputs\interim_secured_metrics.csv;outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_4.tex,52,0.2308,"Across these groups, the counterfactual gap remained between 0.0004 and 0.0007, meaning that removing the scar changed the model's predictions very little. The ",FOUND,outputs\interim_secured_metrics.csv;outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_4.tex,52,45,"Across these groups, the counterfactual gap remained between 0.0004 and 0.0007, meaning that removing the scar changed the model's predictions very little. The ",FOUND,outputs\pds_per_subject.csv;outputs\analysis\evaluation_report_baseline_mobilenet_v3_small_concat_best.json;outputs\analysis\evaluation_report_counterfactual_cgf_js_mobilenet_v3_small_multimodal_10k_unbiased_best.json;outputs\analysis\metrics_comparison_table.csv;outputs\analysis\sklearn_comprehensive_report.json,
